Region,Customer Name,Sales,row_number,rank,dense_rank
East,Arnav Gara,226794.45,160.0,160.0,160.0
East,Shaan Korpal,226190.25,161.0,161.0,161.0
East,Bhavin Chowdhury,223749.75,162.0,162.0,162.0
East,Arnav Kuruvilla,223686.0,163.0,163.0,163.0
East,Dhanuk Bhardwaj,222774.8,164.0,164.0,164.0
East,Tarini Mall,220662.2,165.0,165.0,165.0
East,Shray Gulati,220623.25,166.0,166.0,166.0
East,Sara Koshy,220442.75,167.0,167.0,167.0
East,Shayak Ramesh,219096.6,168.0,168.0,168.0
East,Jayesh Bajaj,218675.75,169.0,169.0,169.0
East,Ranbir Acharya,217804.0,170.0,170.0,170.0
East,Aarush Buch,217795.5,171.0,171.0,171.0
East,Shanaya Chacko,217429.35,172.0,172.0,172.0
East,Raghav Sabharwal,217021.5,173.0,173.0,173.0
East,Tanya Chowdhury,216696.0,174.0,174.0,174.0
East,Anahita Sunder,216624.0,175.0,175.0,175.0
East,Dhanush Bora,216165.6,176.0,176.0,176.0
East,Shamik Walla,215890.0,177.0,177.0,177.0
East,Ivana Butala,215733.4,178.0,178.0,178.0
East,Shaan Yohannan,214563.6,179.0,179.0,179.0
East,Dhanuk Shukla,214410.0,180.0,180.0,180.0
East,Sara Sidhu,214153.2,181.0,181.0,181.0
East,Alia Brahmbhatt,214047.9,182.0,182.0,182.0
East,Anvi Badami,213582.8,183.0,183.0,183.0
East,Yasmin Sathe,212204.8,184.0,184.0,184.0
East,Badal Chaudhary,212202.0,185.0,185.0,185.0
East,Neelofar Dhawan,210867.2,186.0,186.0,186.0
East,Alisha Bail,210767.0,187.0,187.0,187.0
East,Shaan Bose,210667.25,188.0,188.0,188.0
East,Prisha Sachar,210660.0,189.0,189.0,189.0
East,Samar Kumar,210627.0,190.0,190.0,190.0
East,Hansh Bhandari,210268.0,191.0,191.0,191.0
East,Darshit Chaudhry,209970.9,192.0,192.0,192.0
East,Neelofar Kale,209264.4,193.0,193.0,193.0
East,Saanvi Sawhney,208713.6,194.0,194.0,194.0
East,Amira Karnik,208607.4,195.0,195.0,195.0
East,Rhea Kalla,207603.2,196.0,196.0,196.0
East,Emir Kulkarni,207403.4,197.0,197.0,197.0
East,Ela Chad,207312.0,198.0,198.0,198.0
East,Onkar Bail,207221.6,199.0,199.0,199.0
East,Akarsh Mann,206920.0,200.0,200.0,200.0
East,Saksham Datta,206840.0,201.0,201.0,201.0
East,Nirvi Walla,206118.0,202.0,202.0,202.0
East,Hazel Bawa,206024.6,203.0,203.0,203.0
East,Keya Gupta,205587.0,204.0,204.0,204.0
East,Ahana  Chanda,205348.2,205.0,205.0,205.0
East,Manjari Bhavsar,203964.0,206.0,206.0,206.0
East,Dhruv Sura,203048.1,207.0,207.0,207.0
East,Arhaan Dasgupta,200885.4,208.0,208.0,208.0
East,Rasha Halder,199804.8,209.0,209.0,209.0
East,Vihaan Lall,199608.9,210.0,210.0,210.0
East,Kashvi Raja,198909.0,211.0,211.0,211.0
East,Samiha Dutta,198652.65,212.0,212.0,212.0
East,Prisha Rana,197675.1,213.0,213.0,213.0
East,Biju Handa,197621.6,214.0,214.0,214.0
East,Zain Sule,197129.7,215.0,215.0,215.0
East,Dhanush Edwin,196527.6,216.0,216.0,216.0
East,Nakul Choudhury,195252.0,217.0,217.0,217.0
East,Myra Bhatt,194915.7,218.0,218.0,218.0
East,Kiaan Madan,194429.85,219.0,219.0,219.0
East,Misha Bava,194015.0,220.0,220.0,220.0
East,Arhaan Basu,193914.0,221.0,221.0,221.0
East,Divij Kamdar,193905.4,222.0,222.0,222.0
East,Anika Kapoor,193816.8,223.0,223.0,223.0
East,Jivika Malhotra,193513.6,224.0,224.0,224.0
East,Anay Upadhyay,193081.5,225.0,225.0,225.0
East,Baiju Bhakta,193004.4,226.0,226.0,226.0
East,Tushar Balay,191990.25,227.0,227.0,227.0
East,Trisha Raval,191539.0,228.0,228.0,228.0
East,Anay Bhagat,191520.0,229.0,229.0,229.0
East,Romil Iyengar,190809.0,230.0,230.0,230.0
East,Shalv Gole,190608.0,231.0,231.0,231.0
East,Damini Sengupta,190498.5,232.0,232.0,232.0
East,Zaina Sibal,190350.0,233.0,233.0,233.0
East,Nishith Bir,190150.4,234.0,234.0,234.0
East,Kiaan Saini,189824.25,235.0,235.0,235.0
East,Rohan Sama,189788.0,236.0,236.0,236.0
East,Vritika Bhalla,189522.15,237.0,237.0,237.0
East,Riaan Rajagopal,189342.0,238.0,238.0,238.0
East,Myra Randhawa,189178.25,239.0,239.0,239.0
East,Rasha Brar,189097.6,240.0,240.0,240.0
East,Pari Saini,188144.0,241.0,241.0,241.0
East,Kismat Rao,187898.6,242.0,242.0,242.0
East,Shayak Sarna,187848.3,243.0,243.0,243.0
East,Manikya Mahal,187600.8,244.0,244.0,244.0
East,Alisha Rattan,185280.4,245.0,245.0,245.0
East,Piya Sanghvi,184596.0,246.0,246.0,246.0
East,Diya Mand,183918.75,247.0,247.0,247.0
East,Rati Raval,182029.5,248.0,248.0,248.0
East,Nishith Kulkarni,182013.0,249.0,249.0,249.0
East,Romil Sawhney,181968.0,250.0,250.0,250.0
East,Damini Vala,181906.95,251.0,251.0,251.0
East,Prerak Srinivas,181738.8,252.0,252.0,252.0
East,Gatik Bora,181726.2,253.0,253.0,253.0
East,Anika Balasubramanian,181680.0,254.0,254.0,254.0
East,Shamik Buch,181640.0,255.0,255.0,255.0
East,Ayesha Reddy,181386.0,256.0,256.0,256.0
East,Anay Ganesan,180872.0,257.0,257.0,257.0
East,Diya Gaba,180165.6,258.0,258.0,258.0
East,Bhavin Wagle,180080.1,259.0,259.0,259.0
East,Mahika Sen,179728.0,260.0,260.0,260.0
East,Hazel Desai,179616.0,261.0,261.0,261.0
East,Kanav Subramaniam,178905.6,262.0,262.0,262.0
East,Kartik Sant,178540.0,263.0,263.0,263.0
East,Chirag Grewal,178082.25,264.0,264.0,264.0
East,Zain Sahni,177156.0,265.0,265.0,265.0
East,Veer Hari,177102.6,266.0,266.0,266.0
East,Priyansh Ghose,176650.0,267.0,267.0,267.0
East,Riaan Banik,175891.2,268.0,268.0,268.0
East,Parinaaz Sidhu,174727.8,269.0,269.0,269.0
East,Taran Iyengar,173972.55,270.0,270.0,270.0
East,Zara Khalsa,173914.25,271.0,271.0,271.0
East,Miraan Bora,173616.3,272.0,272.0,272.0
East,Samiha Hegde,173572.6,273.0,273.0,273.0
East,Raghav Rama,173394.9,274.0,274.0,274.0
East,Mannat Devan,173251.5,275.0,275.0,275.0
East,Kimaya Issac,173062.4,276.0,276.0,276.0
East,Vedika Thakur,171900.9,277.0,277.0,277.0
East,Amani Rajan,171779.0,278.0,278.0,278.0
East,Vaibhav Banik,171700.0,279.0,279.0,279.0
East,Kabir Hans,171156.0,280.0,280.0,280.0
East,Eshani Chopra,171135.6,281.0,281.0,281.0
East,Samaira Raj,170419.2,282.0,282.0,282.0
East,Rasha Dhingra,170208.0,283.0,283.0,283.0
East,Krish Subramanian,169857.0,284.0,284.0,284.0
East,Vritika Agarwal,169292.0,285.0,285.0,285.0
East,Amira Chander,169255.55,286.0,286.0,286.0
East,Anahi Venkatesh,169108.35,287.0,287.0,287.0
East,Saira Sastry,169059.2,288.0,288.0,288.0
East,Bhamini Mann,168753.9,289.0,289.0,289.0
East,Adah Jhaveri,168714.0,290.0,290.0,290.0
East,Emir Jha,168298.2,291.0,291.0,291.0
East,Hansh Yadav,168093.0,292.0,292.0,292.0
East,Rania Jhaveri,167054.4,293.0,293.0,293.0
East,Vihaan Barad,166608.0,294.0,294.0,294.0
East,Madhav Malhotra,166242.4,295.0,295.0,295.0
East,Adira Krishna,166071.6,296.0,296.0,296.0
East,Uthkarsh Shetty,165942.0,297.0,297.0,297.0
East,Oorja Bora,165378.0,298.0,298.0,298.0
East,Eshani Tandon,165205.0,299.0,299.0,299.0
East,Vihaan Chaudry,164844.0,300.0,300.0,300.0
East,Aarna Bera,164702.7,301.0,301.0,301.0
East,Krish Deo,164228.4,302.0,302.0,302.0
East,Hunar Deo,164115.45,303.0,303.0,303.0
East,Riya Varughese,164071.65,304.0,304.0,304.0
East,Rati Raja,163381.0,305.0,305.0,305.0
East,Ryan Sem,163204.2,306.0,306.0,306.0
East,Shayak Mani,162634.75,307.0,307.0,307.0
East,Piya Amble,162568.0,308.0,308.0,308.0
East,Mehul Dutt,161542.75,309.0,309.0,309.0
East,Zeeshan Dhar,160882.05,310.0,310.0,310.0
East,Madhav Barad,160683.0,311.0,311.0,311.0
East,Ivan Ramesh,160565.85,312.0,312.0,312.0
East,Pihu Datta,160024.4,313.0,313.0,313.0
East,Rati Karan,159723.0,314.0,314.0,314.0
East,Bhavin Anand,159290.0,315.0,315.0,315.0
East,Trisha Solanki,159230.0,316.0,316.0,316.0
East,Renee Reddy,159052.8,317.0,317.0,317.0
East,Sumer Doshi,158977.2,318.0,318.0,318.0
East,Armaan Saran,158913.0,319.0,319.0,319.0
East,Dhruv Kulkarni,158652.0,320.0,320.0,320.0
East,Anika Sen,158610.0,321.0,321.0,321.0
East,Vaibhav Borra,158521.75,322.0,322.0,322.0
East,Anaya Bhasin,158449.5,323.0,323.0,323.0
East,Ritvik Dara,158398.9,324.0,324.0,324.0
East,Romil Sinha,158342.25,325.0,325.0,325.0
East,Suhana Bumb,157403.0,326.0,326.0,326.0
East,Aarav Barad,156909.0,327.0,327.0,327.0
East,Parinaaz Ratti,155997.6,328.0,328.0,328.0
East,Nakul Swaminathan,155492.0,329.0,329.0,329.0
East,Aaryahi Tiwari,155420.0,330.0,330.0,330.0
East,Mahika Divan,155307.6,331.0,331.0,331.0
East,Elakshi Lanka,154669.5,332.0,332.0,332.0
East,Farhan Golla,154626.9,333.0,333.0,333.0
East,Hridaan Rege,154464.0,334.0,334.0,334.0
East,Sara Kannan,154392.0,335.0,335.0,335.0
East,Navya Balakrishnan,153926.6,336.0,336.0,336.0
East,Sahil Bera,153864.0,337.0,337.0,337.0
East,Anvi Jayaraman,153598.4,338.0,338.0,338.0
East,Aaina Gala,153273.0,339.0,339.0,339.0
East,Zara Singh,152740.0,340.0,340.0,340.0
East,Mannat Dhaliwal,152569.6,341.0,341.0,341.0
East,Romil Mangat,152502.0,342.0,342.0,342.0
East,Amani Andra,152260.8,343.0,343.0,343.0
East,Elakshi Mall,152056.05,344.0,344.0,344.0
East,Seher Dugal,152036.1,345.0,345.0,345.0
East,Vaibhav Keer,151860.0,346.0,346.0,346.0
East,Piya Bhattacharyya,151647.0,347.0,347.0,347.0
East,Seher Din,149873.9,348.0,348.0,348.0
East,Prerak Arora,149134.5,349.0,349.0,349.0
East,Hrishita Lata,149100.6,350.0,350.0,350.0
East,Nayantara Majumdar,148230.0,351.0,351.0,351.0
East,Heer Lal,148165.8,352.0,352.0,352.0
East,Rohan Vaidya,147840.0,353.0,353.0,353.0
East,Tarini Ravi,147570.0,354.0,354.0,354.0
East,Mehul Bose,147336.45,355.0,355.0,355.0
East,Vedika Sridhar,147312.0,356.0,356.0,356.0
East,Ranbir Chaudhary,146142.0,357.0,357.0,357.0
East,Manjari Gera,145992.6,358.0,358.0,358.0
East,Bhamini Sharaf,145688.2,359.0,359.0,359.0
East,Anya Lala,145407.0,360.0,360.0,360.0
East,Mahika Tak,145377.2,361.0,361.0,361.0
East,Vedika Grewal,144976.0,362.0,362.0,362.0
East,Alia Chacko,144760.05,363.0,363.0,363.0
East,Divij Tara,144750.0,364.0,364.0,364.0
East,Hrishita Jha,144540.0,365.0,365.0,365.0
East,Kiaan Din,144348.0,366.0,366.0,366.0
East,Bhavin Bhatia,144010.4,367.0,367.0,367.0
East,Lagan Hans,143960.4,368.0,368.0,368.0
East,Taran Goyal,143879.4,369.0,369.0,369.0
East,Fateh Rajagopal,143782.4,370.0,370.0,370.0
East,Pihu Jaggi,143768.0,371.0,371.0,371.0
East,Tushar Goel,142989.0,372.0,372.0,372.0
East,Madhav Mandal,142737.5,373.0,373.0,373.0
East,Taimur Mand,142332.0,374.0,374.0,374.0
East,Darshit Sarna,142230.4,375.0,375.0,375.0
East,Shray Karnik,141877.75,376.0,376.0,376.0
East,Uthkarsh Dara,141660.0,377.0,377.0,377.0
East,Samaira Buch,141571.75,378.0,378.0,378.0
East,Inaaya  Ganesan,141240.3,379.0,379.0,379.0
East,Anvi Gole,141188.0,380.0,380.0,380.0
East,Kashvi Bera,141186.0,381.0,381.0,381.0
East,Kashvi Thakkar,140994.0,382.0,382.0,382.0
East,Bhavin Suresh,140873.6,383.0,383.0,383.0
East,Neysa Sura,140771.0,384.0,384.0,384.0
East,Jivika Badami,140661.0,385.0,385.0,385.0
East,Mannat Sandal,140291.2,386.0,386.0,386.0
East,Alia Borde,139956.75,387.0,387.0,387.0
East,Indrajit Solanki,139644.3,388.0,388.0,388.0
East,Neelofar Goyal,139626.0,389.0,389.0,389.0
East,Kiaan Batra,138984.0,390.0,390.0,390.0
East,Reyansh Mall,138640.0,391.0,391.0,391.0
East,Hunar Seth,138432.0,392.0,392.0,392.0
East,Vivaan Sheth,137932.8,393.0,393.0,393.0
East,Zara Ramachandran,136873.6,394.0,394.0,394.0
East,Hunar Wason,136738.25,395.0,395.0,395.0
East,Eva Babu,136404.0,396.0,396.0,396.0
East,Onkar Johal,135717.6,397.0,397.0,397.0
East,Divyansh Bhavsar,135517.5,398.0,398.0,398.0
East,Rohan Varty,135418.5,399.0,399.0,399.0
East,Raunak Raj,135236.7,400.0,400.0,400.0
East,Samaira Saxena,135071.8,401.0,401.0,401.0
East,Misha Gulati,134762.4,402.0,402.0,402.0
East,Saksham Chandra,134728.0,403.0,403.0,403.0
East,Tejas Sastry,134667.0,404.0,404.0,404.0
East,Saanvi Raj,134250.0,405.0,405.0,405.0
East,Jayant Sem,134099.2,406.0,406.0,406.0
East,Stuvan Ray,134037.0,407.0,407.0,407.0
East,Divit Kumar,133992.75,408.0,408.0,408.0
East,Advik Borde,133852.5,409.0,409.0,409.0
East,Diya Edwin,133696.35,410.0,410.0,410.0
East,Elakshi Chandran,133104.9,411.0,411.0,411.0
East,Bhavin Dhawan,132952.0,412.0,412.0,412.0
East,Amira Dewan,132513.3,413.0,413.0,413.0
East,Lakshit Kuruvilla,132264.0,414.0,414.0,414.0
East,Tanya Gala,132110.8,415.0,415.0,415.0
East,Mannat Sani,131938.2,416.0,416.0,416.0
East,Arnav Arya,131690.0,417.0,417.0,417.0
East,Samarth Sura,131689.95,418.0,418.0,418.0
East,Riaan Char,130801.7,419.0,419.0,419.0
East,Lavanya Lad,130019.2,420.0,420.0,420.0
East,Divyansh Sheth,129812.4,421.0,421.0,421.0
East,Ehsaan Andra,129490.7,422.0,422.0,422.0
East,Ojas Chaudhary,129470.75,423.0,423.0,423.0
East,Rohan Acharya,129451.2,424.0,424.0,424.0
East,Aarav Singhal,128934.0,425.0,425.0,425.0
East,Madhup Ray,128551.2,426.0,426.0,426.0
East,Jivika Baral,128504.7,427.0,427.0,427.0
East,Anvi Keer,128338.2,428.0,428.0,428.0
East,Miraan Goda,128307.0,429.0,429.0,429.0
East,Baiju Kalla,127924.0,430.0,430.0,430.0
East,Manjari Lata,127464.0,431.0,431.0,431.0
East,Nitya Dora,127129.0,432.0,432.0,432.0
East,Kanav Taneja,127115.8,433.0,433.0,433.0
East,Bhavin Som,127096.8,434.0,434.0,434.0
East,Ojas Jaggi,127022.0,435.0,435.0,435.0
East,Seher Shroff,126948.6,436.0,436.0,436.0
East,Ritvik Badal,126942.8,437.0,437.0,437.0
East,Jiya Rastogi,126935.2,438.0,438.0,438.0
East,Hrishita Luthra,126775.8,439.0,439.0,439.0
East,Dishani Chaudhry,126600.0,440.0,440.0,440.0
East,Shlok Dutt,126495.0,441.0,441.0,441.0
East,Umang Varghese,126383.1,442.0,442.0,442.0
East,Tara Walia,126196.1,443.0,443.0,443.0
East,Madhup Sem,125559.0,444.0,444.0,444.0
East,Ritvik Kapadia,124987.2,445.0,445.0,445.0
East,Fateh Brahmbhatt,124940.8,446.0,446.0,446.0
East,Himmat Ahluwalia,124213.05,447.0,447.0,447.0
East,Jayan Chanda,124013.7,448.0,448.0,448.0
East,Reyansh Saraf,123785.0,449.0,449.0,449.0
East,Veer Goel,123705.6,450.0,450.0,450.0
East,Shanaya Sidhu,123675.0,451.0,451.0,451.0
East,Anahi Comar,123523.7,452.0,452.0,452.0
East,Akarsh Sachdev,123444.0,453.0,453.0,453.0
East,Jayant Chada,122894.0,454.0,454.0,454.0
East,Badal Karan,122848.0,455.0,455.0,455.0
East,Darshit Kamdar,122763.8,456.0,456.0,456.0
East,Mishti Bhagat,122234.25,457.0,457.0,457.0
East,Elakshi Barman,121876.2,458.0,458.0,458.0
East,Shaan Bala,121814.0,459.0,459.0,459.0
East,Tara Kala,121708.95,460.0,460.0,460.0
East,Suhana Mann,121552.5,461.0,461.0,461.0
East,Siya Arora,120691.8,462.0,462.0,462.0
East,Priyansh Som,120123.0,463.0,463.0,463.0
East,Kabir Deep,119878.05,464.0,464.0,464.0
East,Romil Mall,119714.85,465.0,465.0,465.0
East,Aniruddh Batra,119660.8,466.0,466.0,466.0
East,Saira Kapoor,119370.0,467.0,467.0,467.0
East,Amani Acharya,119215.0,468.0,468.0,468.0
East,Vihaan Varty,119031.2,469.0,469.0,469.0
East,Sana Gole,118864.0,470.0,470.0,470.0
East,Zaina Dora,118860.0,471.0,471.0,471.0
East,Alisha Manne,118246.9,472.0,472.0,472.0
East,Nitya Amble,118220.85,473.0,473.0,473.0
East,Nishith Banik,118178.1,474.0,474.0,474.0
East,Parinaaz Din,118069.8,475.0,475.0,475.0
East,Riya Ben,117797.25,476.0,476.0,476.0
East,Nitara Mani,117731.6,477.0,477.0,477.0
East,Krish Suri,116745.6,478.0,478.0,478.0
East,Jayesh Uppal,116525.0,479.0,479.0,479.0
East,Diya Sura,116425.6,480.0,480.0,480.0
East,Myra Brar,116291.9,481.0,481.0,481.0
East,Advika Grover,115909.2,482.0,482.0,482.0
East,Dhanush Sankaran,115861.8,483.0,483.0,483.0
East,Faiyaz Sandal,115812.6,484.0,484.0,484.0
East,Krish Warrior,115498.0,485.0,485.0,485.0
East,Hunar Mani,115357.5,486.0,486.0,486.0
East,Urvi Rout,115243.0,487.0,487.0,487.0
East,Dharmajan Swaminathan,114937.0,488.0,488.0,488.0
East,Vivaan Verma,114194.0,489.0,489.0,489.0
East,Kismat Sagar,114052.5,490.0,490.0,490.0
East,Sana Dua,113893.6,491.0,491.0,491.0
East,Saira Sengupta,113792.0,492.0,492.0,492.0
East,Adira Chacko,113566.8,493.0,493.0,493.0
East,Lavanya Gara,113510.0,494.0,494.0,494.0
East,Rhea Shankar,113151.6,495.0,495.0,495.0
East,Myra Gopal,112845.75,496.0,496.0,496.0
East,Manikya Yadav,112828.5,497.0,497.0,497.0
East,Baiju Sunder,112597.8,498.0,498.0,498.0
East,Myra Goda,112212.0,499.0,499.0,499.0
