customer_id,customer_first_name,customer_last_name,category_name,product_name,customer_segment,customer_city,customer_state,customer_country,customer_region,delivery_status,order_date,order_id,ship_date,shipping_type,days_for_shipment_scheduled,days_for_shipment_real,order_item_discount,sales_per_order,order_quantity,profit_per_order
C_ID_36240,Sarah,Wiener,Furniture,"DAX Value U-Channel Document Frames, Easel Back",Consumer,Seattle,Washington,United States,West,Late delivery,11/5/2022,O_ID_3086366,11/11/2022,Second Class,2,6,27.5,196.0,5,217.3500061
C_ID_52640,Eugene,Pryor,Technology,PowerGen Dual USB Car Charger,Home Office,Yonkers,New York,United States,East,Late delivery,30-04-2022,O_ID_3000153,8/2/2022,Standard Class,4,5,0.0,499.9500122,2,149.9900055
C_ID_52478,Mary,Ludtke,Office Supplies,Sensible Storage WireTech Storage Systems,Consumer,Yonkers,New York,United States,East,Advance shipping,30-05-2022,O_ID_3000155,1/6/2022,Standard Class,4,2,20.0,499.9500122,2,36.0
C_ID_52183,David,Sundaresam,Office Supplies,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Consumer,Huntsville,Texas,United States,Central,Shipping on time,3/2/2022,O_ID_3000016,5/4/2022,Standard Class,4,4,51.0,299.980011,5,-24.89999962
C_ID_28744,Mary,Seite,Office Supplies,Newell 312,Consumer,Laredo,Texas,United States,Central,Late delivery,27-02-2021,O_ID_3000017,4/3/2021,Second Class,2,5,4.800000191,119.9800034,2,-30.75
C_ID_45461,Mary,Seite,Technology,Memorex Micro Travel Drive 8 GB,Consumer,Laredo,Texas,United States,Central,Shipping on time,28-10-2021,O_ID_3000018,30-10-2021,Second Class,2,2,0.800000012,79.98000336,2,-122.7300034
C_ID_31115,Elizabeth,Jacobs,Furniture,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Corporate,Springfield,Virginia,United States,South,Late delivery,2/4/2021,O_ID_3000019,7/5/2021,Second Class,2,6,4.0,100.0,2,33.59999847
C_ID_45766,Katherine,Jacobs,Office Supplies,Avery 482,Corporate,Springfield,Virginia,United States,South,Shipping on time,2/11/2021,O_ID_3000020,14-01-2021,Second Class,2,2,4.0,79.98000336,2,24.69000053
C_ID_47752,Mary,Vernon,Furniture,"DAX Value U-Channel Document Frames, Easel Back",Consumer,Dover,Delaware,United States,East,Late delivery,1/12/2021,O_ID_3000021,15-01-2021,Second Class,2,3,9.0,100.0,2,9.100000381
C_ID_50054,Dennis,Dahlen,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",Consumer,San Francisco,California,United States,West,Late delivery,3/1/2022,O_ID_3000022,4/5/2022,Second Class,2,5,13.0,100.0,2,-21.75
C_ID_36146,Mary,DeCherney,Furniture,Global Highback Leather Tilter in Burgundy,Consumer,Mount Pleasant,South Carolina,United States,South,Shipping on time,9/11/2021,O_ID_3000023,16-06-2021,Second Class,2,2,15.30000019,89.98000336,2,22.40999985
C_ID_41234,Frances,Dahlen,Office Supplies,4009 Highlighters by Sanford,Consumer,San Francisco,California,United States,West,Late delivery,27-08-2021,O_ID_3000024,1/9/2021,Second Class,2,5,19.79000092,109.9400024,2,25.23999977
C_ID_32090,Alice,Moore,Office Supplies,Avery Metallic Poly Binders,Consumer,Newark,Ohio,United States,East,Late delivery,16-04-2021,O_ID_3000025,22-04-2021,Second Class,2,6,2.400000095,119.9800034,2,30.5699997
C_ID_34773,Kyle,Selesnick,Office Supplies,3-ring staple pack,Corporate,Bossier City,Louisiana,United States,South,Late delivery,25-05-2021,O_ID_3000026,29-05-2021,Second Class,2,4,24.0,119.9800034,2,46.0699997
C_ID_44046,Brenda,Selesnick,Office Supplies,Brown Kraft Recycled Envelopes,Corporate,Bossier City,Louisiana,United States,South,Shipping on time,13-04-2021,O_ID_3000027,13-06-2021,Second Class,2,2,36.0,299.9700012,3,-184.7799988
C_ID_46414,Frank,Selesnick,Office Supplies,Staple envelope,Corporate,Bossier City,Louisiana,United States,South,Late delivery,14-08-2021,O_ID_3000028,16-11-2021,Second Class,2,5,6.0,119.9700012,3,38.75
C_ID_46599,Johnny,Moore,Office Supplies,Xerox 1923,Consumer,Newark,Ohio,United States,East,Late delivery,14-11-2021,O_ID_3000029,19-11-2021,Second Class,2,5,1.980000019,65.97000122,3,-3.650000095
C_ID_48434,Mary,Selesnick,Office Supplies,Fellowes Stor/Drawer Steel Plus Storage Drawers,Corporate,Bossier City,Louisiana,United States,South,Late delivery,15-08-2021,O_ID_3000030,16-12-2021,Second Class,2,5,16.30999947,95.97000122,3,38.22999954
C_ID_63936,Hannah,Dahlen,Office Supplies,Tennsco 6- and 18-Compartment Lockers,Consumer,San Francisco,California,United States,West,Shipping on time,25-07-2022,O_ID_3000031,27-07-2022,Second Class,2,2,30.0,299.9700012,3,132.2899933
C_ID_65030,Mary,Selesnick,Technology,Plantronics S12 Corded Telephone Headset System,Corporate,Bossier City,Louisiana,United States,South,Late delivery,11/7/2022,O_ID_3000032,16-08-2022,Second Class,2,6,74.98999786,299.9700012,2,76.04000092
C_ID_62571,Michael,Sweed,Furniture,Sauder Cornerstone Collection Library,Corporate,Philadelphia,Pennsylvania,United States,East,Shipping on time,10/2/2022,O_ID_3000033,10/4/2022,Second Class,2,2,12.60000038,179.9700012,2,43.52000046
C_ID_65922,Vincent,Hackney,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Consumer,Roswell,Georgia,United States,South,Late delivery,23-08-2022,O_ID_3000034,26-08-2022,Second Class,2,3,18.0,179.9700012,2,40.49000168
C_ID_63936,Hannah,Latchford,Furniture,DAX Black Cherry Wood-Tone Poster Frame,Consumer,Philadelphia,Pennsylvania,United States,East,Shipping on time,25-07-2022,O_ID_3000035,27-07-2022,Second Class,2,2,10.5,150.0,2,20.93000031
C_ID_56448,Mary,Bixby,Office Supplies,GBC Wire Binding Combs,Consumer,Seattle,Washington,United States,West,Late delivery,17-04-2022,O_ID_3000157,23-04-2022,Standard Class,4,6,50.0,499.9500122,2,-269.9700012
C_ID_67892,Frances,Latchford,Office Supplies,Round Specialty Laser Printer Labels,Consumer,Philadelphia,Pennsylvania,United States,East,Late delivery,21-09-2022,O_ID_3000037,24-09-2022,Second Class,2,3,37.5,150.0,3,12.71000004
C_ID_56359,Megan,Latchford,Technology,AT&T 841000 Phone,Consumer,Philadelphia,Pennsylvania,United States,East,Late delivery,7/2/2022,O_ID_3000038,7/7/2022,Second Class,2,5,1.799999952,179.9700012,2,-285.0700073
C_ID_52477,Mary,Miller,Office Supplies,"Performers Binder/Pad Holder, Black",Corporate,Little Rock,Arkansas,United States,South,Advance shipping,24-04-2022,O_ID_3000907,26-04-2022,Standard Class,4,2,5.0,499.9500122,5,55.93000031
C_ID_57567,Mary,liebe,Office Supplies,Xerox 229,Home Office,Los Angeles,California,United States,West,Advance shipping,22-04-2022,O_ID_3000909,24-04-2022,Standard Class,4,2,15.0,499.9500122,5,126.0899963
C_ID_53413,Grace,Swindell,Office Supplies,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Consumer,Scottsdale,Arizona,United States,West,Late delivery,21-02-2022,O_ID_3000041,25-02-2022,Second Class,2,4,27.0,179.9700012,2,47.88000107
C_ID_56973,Mary,Swindell,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,Scottsdale,Arizona,United States,West,Late delivery,7/11/2022,O_ID_3000042,18-04-2022,Second Class,2,4,6.0,150.0,3,23.46999931
C_ID_55155,Mary,Swindell,Office Supplies,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Consumer,Scottsdale,Arizona,United States,West,Late delivery,19-03-2022,O_ID_3000043,25-03-2022,Second Class,2,6,10.5,150.0,2,43.65999985
C_ID_53403,Mary,Lopez,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Consumer,Jonesboro,Arkansas,United States,South,Late delivery,21-02-2022,O_ID_3000044,25-02-2022,Second Class,2,4,25.5,150.0,2,15.56000042
C_ID_51298,Ronald,Preis,Furniture,Ultra Door Push Plate,Consumer,Westland,Michigan,United States,Central,Late delivery,21-01-2022,O_ID_3000045,25-01-2022,Second Class,2,4,20.38999939,119.9700012,3,32.86000061
C_ID_41251,Mary,Preis,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Consumer,Westland,Michigan,United States,Central,Shipping on time,28-08-2021,O_ID_3000046,30-08-2021,Second Class,2,2,12.0,239.9600067,4,17.10000038
C_ID_34756,Sandra,Lopez,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Jonesboro,Arkansas,United States,South,Shipping on time,25-05-2021,O_ID_3000047,27-05-2021,Second Class,2,2,29.98999977,199.9199982,1,81.5699997
C_ID_33846,Carol,Van,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,Los Angeles,California,United States,West,Shipping on time,8/9/2021,O_ID_3000048,8/11/2021,Second Class,2,2,25.59000015,159.9600067,1,-208.2700043
C_ID_40501,Jacqueline,Preis,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Consumer,Westland,Michigan,United States,Central,Shipping on time,17-08-2021,O_ID_3000049,19-08-2021,Second Class,2,2,1.600000024,159.9600067,1,45.91999817
C_ID_35241,Mary,Lopez,Office Supplies,Newell 351,Consumer,Jonesboro,Arkansas,United States,South,Shipping on time,1/6/2021,O_ID_3000050,3/6/2021,Second Class,2,2,13.19999981,239.9600067,1,4.539999962
C_ID_38941,Emma,Lopez,Office Supplies,Newell 327,Consumer,Jonesboro,Arkansas,United States,South,Shipping on time,25-07-2021,O_ID_3000051,27-07-2021,Second Class,2,2,14.55000019,111.9599991,1,43.83000183
C_ID_41056,Mary,Preis,Office Supplies,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Consumer,Westland,Michigan,United States,Central,Shipping on time,25-08-2021,O_ID_3000052,27-08-2021,Second Class,2,2,35.99000168,199.9199982,1,42.61999893
C_ID_35691,Kathleen,Preis,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Consumer,Westland,Michigan,United States,Central,Shipping on time,9/4/2021,O_ID_3000053,9/6/2021,Second Class,2,2,0.0,200.0,1,72.59999847
C_ID_37121,Denise,MacIntyre,Office Supplies,GBC DocuBind TL200 Manual Binding Machine,Corporate,Smyrna,Tennessee,United States,South,Shipping on time,28-06-2021,O_ID_3000054,30-06-2021,Second Class,2,2,31.19000053,239.9600067,1,31.30999947
C_ID_38746,Diane,Preis,Office Supplies,Storex Dura Pro Binders,Consumer,Westland,Michigan,United States,Central,Shipping on time,22-07-2021,O_ID_3000055,24-07-2021,Second Class,2,2,4.0,200.0,1,11.76000023
C_ID_32966,Olivia,Lopez,Office Supplies,Staple envelope,Consumer,Jonesboro,Arkansas,United States,South,Shipping on time,29-04-2021,O_ID_3000056,1/5/2021,Second Class,2,2,4.800000191,159.9600067,1,-113.7300034
C_ID_32781,David,Van,Office Supplies,"Wirebound Service Call Books, 5 1/2"" x 4""",Consumer,Los Angeles,California,United States,West,Shipping on time,26-04-2021,O_ID_3000057,28-04-2021,Second Class,2,2,4.800000191,120.0,1,43.20000076
C_ID_37401,Sara,Preis,Office Supplies,Eldon Fold 'N Roll Cart System,Consumer,Westland,Michigan,United States,Central,Shipping on time,2/7/2021,O_ID_3000058,10/1/2021,Second Class,2,2,13.98999977,199.9199982,1,62.84000015
C_ID_32296,Juan,Preis,Office Supplies,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Consumer,Westland,Michigan,United States,Central,Shipping on time,19-04-2021,O_ID_3000059,21-04-2021,Second Class,2,2,14.0,200.0,1,52.08000183
C_ID_43321,Mary,Lopez,Technology,Apple iPhone 5C,Consumer,Jonesboro,Arkansas,United States,South,Shipping on time,27-09-2021,O_ID_3000060,29-09-2021,Second Class,2,2,6.0,59.95999908,1,6.099999905
C_ID_36646,Mary,Boeckenhauer,Furniture,Ultra Door Pull Handle,Consumer,Miami,Florida,United States,South,Shipping on time,21-06-2021,O_ID_3000061,23-06-2021,Second Class,2,2,29.98999977,199.9199982,1,53.18999863
C_ID_39736,Margaret,Waco,Furniture,"Eldon Imàge Series Desk Accessories, Clear",Corporate,Lafayette,Indiana,United States,Central,Shipping on time,28-05-2021,O_ID_3000062,30-05-2021,Second Class,2,2,36.0,200.0,1,59.52999878
C_ID_39946,Mary,Waco,Furniture,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Corporate,Las Vegas,Nevada,United States,West,Shipping on time,26-06-2021,O_ID_3000063,28-06-2021,Second Class,2,2,31.98999977,159.9600067,1,44.79000092
C_ID_32796,Kimberly,Waco,Furniture,"Eldon 200 Class Desk Accessories, Burgundy",Corporate,Rapid City,South Dakota,United States,Central,Shipping on time,8/10/2021,O_ID_3000064,8/12/2021,Second Class,2,2,99.98999786,120.0,1,-239.9799957
C_ID_37871,Mary,Waco,Office Supplies,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Corporate,Alexandria,Virginia,United States,South,Shipping on time,18-06-2021,O_ID_3000065,20-06-2021,Second Class,2,2,0.0,39.95999908,1,4.519999981
C_ID_37701,Mary,Waco,Technology,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Corporate,Alexandria,Virginia,United States,South,Shipping on time,16-07-2021,O_ID_3000066,18-07-2021,Second Class,2,2,2.0,200.0,1,91.08000183
C_ID_34951,Amanda,Goranitis,Office Supplies,"Alliance Big Bands Rubber Bands, 12/Pack",Consumer,Rapid City,South Dakota,United States,Central,Shipping on time,9/3/2021,O_ID_3000067,9/5/2021,Second Class,2,2,12.0,120.0,1,24.44000053
C_ID_36946,Mary,McGrath,Office Supplies,Xerox 195,Consumer,Alexandria,Virginia,United States,South,Shipping on time,18-06-2021,O_ID_3000068,20-06-2021,Second Class,2,2,6.400000095,159.9600067,1,-72.94000244
C_ID_33976,John,Adams,Furniture,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Corporate,Alexandria,Virginia,United States,South,Shipping on time,26-08-2021,O_ID_3000069,28-08-2021,Second Class,2,2,17.98999977,199.9199982,1,-491.2000122
C_ID_36421,Kathleen,Daniels,Furniture,Eldon Image Series Black Desk Accessories,Home Office,Alexandria,Virginia,United States,South,Shipping on time,8/1/2021,O_ID_3000070,8/3/2021,Second Class,2,2,25.98999977,199.9199982,1,63.13999939
C_ID_38346,Mary,Daniels,Furniture,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Home Office,Alexandria,Virginia,United States,South,Shipping on time,10/5/2021,O_ID_3000071,10/7/2021,Second Class,2,2,3.0,120.0,1,13.0699997
C_ID_35571,Jacob,Adams,Office Supplies,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Corporate,Alexandria,Virginia,United States,South,Shipping on time,30-04-2021,O_ID_3000072,2/5/2021,Second Class,2,2,6.0,120.0,1,73.48999786
C_ID_36421,Mary,Daniels,Office Supplies,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Home Office,San Diego,California,United States,West,Shipping on time,7/6/2021,O_ID_3000073,7/8/2021,Second Class,2,2,13.75,250.0,1,66.15000153
C_ID_41106,Nancy,Daniels,Office Supplies,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Home Office,San Diego,California,United States,West,Shipping on time,10/4/2021,O_ID_3000074,10/6/2021,Second Class,2,2,30.0,120.0,1,101.2300034
C_ID_33321,Mary,Daniels,Office Supplies,"SAFCO Commercial Wire Shelving, 72h",Home Office,San Diego,California,United States,West,Shipping on time,10/5/2021,O_ID_3000075,10/7/2021,Second Class,2,2,64.98999786,120.0,1,208.7799988
C_ID_37806,Mary,Daniels,Technology,Jabra SPEAK 410,Home Office,New York City,New York,United States,East,Shipping on time,10/6/2021,O_ID_3000076,10/8/2021,Second Class,2,2,62.5,250.0,1,50.63000107
C_ID_33071,Austin,Daniels,Technology,Macally Suction Cup Mount,Home Office,Detroit,Michigan,United States,Central,Shipping on time,24-08-2021,O_ID_3000077,26-08-2021,Second Class,2,2,2.5,250.0,1,71.77999878
C_ID_31591,Mary,Jacobs,Furniture,Balt Split Level Computer Training Table,Consumer,Detroit,Michigan,United States,Central,Shipping on time,3/7/2021,O_ID_3000078,10/2/2021,Second Class,2,2,2.0,199.9499969,1,-62.75
C_ID_37681,Mary,Jacobs,Office Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,Consumer,Mission Viejo,California,United States,West,Shipping on time,8/2/2021,O_ID_3000079,8/4/2021,Second Class,2,2,7.5,249.8999939,1,75.87000275
C_ID_37806,Evelyn,Jacobs,Office Supplies,Recycled Steel Personal File for Hanging File Folders,Consumer,Green Bay,Wisconsin,United States,Central,Shipping on time,26-06-2021,O_ID_3000080,28-06-2021,Second Class,2,2,27.5,120.0,1,103.9400024
C_ID_37816,Austin,Cacioppo,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Consumer,Saint Petersburg,Florida,United States,South,Shipping on time,24-08-2021,O_ID_3000081,26-08-2021,Second Class,2,2,21.0,120.0,1,114.3700027
C_ID_41021,Mary,Vittorini,Office Supplies,Xerox 1972,Consumer,San Diego,California,United States,West,Shipping on time,24-04-2021,O_ID_3000082,26-04-2021,Second Class,2,2,27.0,120.0,1,27.29999924
C_ID_37416,Samantha,Vittorini,Office Supplies,Space Solutions HD Industrial Steel Shelving.,Consumer,Saint Petersburg,Florida,United States,South,Shipping on time,2/6/2021,O_ID_3000083,9/1/2021,Second Class,2,2,30.0,120.0,1,134.9799957
C_ID_33416,Mary,Carlisle,Furniture,"Sauder Facets Collection Library, Sky Alder Finish",Consumer,Seattle,Washington,United States,West,Shipping on time,28-08-2021,O_ID_3000084,30-08-2021,Second Class,2,2,59.99000168,120.0,1,219.9799957
C_ID_36991,Mary,Drucker,Technology,Enermax Aurora Lite Keyboard,Consumer,Seattle,Washington,United States,West,Shipping on time,24-07-2021,O_ID_3000085,26-07-2021,Second Class,2,2,29.98999977,249.8999939,1,82.47000122
C_ID_41021,Mary,Barreto,Office Supplies,Surelock Post Binders,Consumer,Escondido,California,United States,West,Shipping on time,20-11-2021,O_ID_3000086,22-11-2021,Second Class,2,2,39.97999954,249.8999939,1,104.9599991
C_ID_32646,Angela,Delaney,Office Supplies,Staples,Home Office,San Diego,California,United States,West,Shipping on time,23-06-2021,O_ID_3000087,23-06-2021,Same Day,0,0,12.60000038,179.9700012,1,3.349999905
C_ID_35301,Ann,Barreto,Technology,AT&T 17929 Lendline Telephone,Consumer,San Diego,California,United States,West,Shipping on time,23-08-2021,O_ID_3000088,23-08-2021,Same Day,0,0,6.0,119.9700012,1,37.04000092
C_ID_41241,Aaron,Boeckenhauer,Office Supplies,Avery Durable Poly Binders,Consumer,Romeoville,Illinois,United States,Central,Shipping on time,7/11/2021,O_ID_3000089,7/11/2021,Same Day,0,0,4.119999886,74.97000122,1,24.79999924
C_ID_38906,Aaron,Boeckenhauer,Office Supplies,Ibico Laser Imprintable Binding System Covers,Consumer,Chesapeake,Virginia,United States,South,Shipping on time,7/11/2021,O_ID_3000090,7/11/2021,Same Day,0,0,8.399999619,119.9700012,1,13.94999981
C_ID_47046,David,Haberlin,Office Supplies,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Corporate,Chesapeake,Virginia,United States,South,Shipping on time,19-07-2021,O_ID_3000091,19-07-2021,Same Day,0,0,13.48999977,149.9400024,1,-6.409999847
C_ID_36734,Larry,Brumfield,Office Supplies,GBC Recycled Grain Textured Covers,Home Office,Chesapeake,Virginia,United States,South,Shipping on time,19-07-2021,O_ID_3000092,19-07-2021,Same Day,0,0,16.20000076,179.9700012,1,80.25
C_ID_40908,Mary,Brumfield,Office Supplies,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Home Office,New York City,New York,United States,East,Shipping on time,19-07-2021,O_ID_3000093,19-07-2021,Same Day,0,0,14.98999977,149.9400024,1,6.75
C_ID_31937,Mary,Latchford,Office Supplies,"Avery Flip-Chart Easel Binder, Black",Consumer,Linden,New Jersey,United States,East,Shipping on time,16-05-2021,O_ID_3000094,16-05-2021,Same Day,0,0,7.199999809,59.97000122,1,-40.47999954
C_ID_31937,Mary,Ducich,Office Supplies,Avery 480,Corporate,North Las Vegas,Nevada,United States,West,Shipping on time,9/4/2021,O_ID_3000095,9/4/2021,Same Day,0,0,19.5,150.0,1,27.79999924
C_ID_38519,Mary,Ducich,Technology,AT&T CL82213,Corporate,Columbia,Missouri,United States,Central,Shipping on time,11/11/2021,O_ID_3000096,11/11/2021,Same Day,0,0,22.5,150.0,1,14.40999985
C_ID_38516,Joseph,Ducich,Technology,Aastra 57i VoIP phone,Corporate,Columbia,Missouri,United States,Central,Shipping on time,20-08-2021,O_ID_3000097,20-08-2021,Same Day,0,0,30.59000015,179.9700012,1,52.27999878
C_ID_38518,Roy,Selesnick,Office Supplies,Acco Perma 4000 Stacking Storage Drawers,Corporate,Chesapeake,Virginia,United States,South,Shipping on time,23-04-2021,O_ID_3000098,23-04-2021,Same Day,0,0,53.99000168,120.0,1,-41.08000183
C_ID_34148,Ashley,Kinney,Technology,Maxell DVD-RAM Discs,Corporate,Chesapeake,Virginia,United States,South,Shipping on time,7/8/2021,O_ID_3000099,7/8/2021,Same Day,0,0,21.59000015,119.9700012,1,24.59000015
C_ID_35633,Mary,Mautz,Furniture,"Master Caster Door Stop, Large Brown",Home Office,Columbia,Missouri,United States,Central,Shipping on time,8/10/2021,O_ID_3000100,8/10/2021,Same Day,0,0,20.38999939,119.9700012,1,46.79999924
C_ID_40306,Sara,Armstrong,Furniture,"Global Value Mid-Back Manager's Chair, Gray",Consumer,Columbia,Missouri,United States,Central,Shipping on time,7/4/2021,O_ID_3000101,7/4/2021,Same Day,0,0,3.150000095,44.97000122,1,20.48999977
C_ID_40720,Mary,Armstrong,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Consumer,Columbia,Missouri,United States,Central,Shipping on time,7/12/2021,O_ID_3000102,7/12/2021,Same Day,0,0,19.5,150.0,1,37.84999847
C_ID_32551,Mary,Fritzler,Furniture,Hon 2111 Invitation Series Corner Table,Consumer,Columbia,Missouri,United States,Central,Shipping on time,23-08-2021,O_ID_3000103,23-08-2021,Same Day,0,0,35.99000168,179.9700012,1,31.95999908
C_ID_31739,Christine,Fritzler,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,Consumer,Chesapeake,Virginia,United States,South,Shipping on time,30-07-2021,O_ID_3000104,30-07-2021,Same Day,0,0,37.49000168,149.9400024,1,49.47999954
C_ID_33923,Doris,Armstrong,Office Supplies,VariCap6 Expandable Binder,Consumer,Concord,California,United States,West,Shipping on time,26-07-2021,O_ID_3000105,26-07-2021,Same Day,0,0,3.599999905,179.9700012,1,61.72999954
C_ID_31471,Larry,Armstrong,Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Consumer,Seattle,Washington,United States,West,Shipping on time,19-06-2021,O_ID_3000106,19-06-2021,Same Day,0,0,10.72999954,195.0,1,46.0699997
C_ID_32018,Mary,Armstrong,Office Supplies,Avery 483,Consumer,Houston,Texas,United States,Central,Shipping on time,2/10/2021,O_ID_3000107,2/10/2021,Same Day,0,0,17.98999977,149.9400024,1,-109.9100037
C_ID_40898,Mary,Armstrong,Office Supplies,Fellowes Neat Ideas Storage Cubes,Consumer,Seattle,Washington,United States,West,Shipping on time,17-08-2021,O_ID_3000108,17-08-2021,Same Day,0,0,26.98999977,149.9400024,1,23.36000061
C_ID_39287,Judy,Fritzler,Technology,Enermax Aurora Lite Keyboard,Consumer,Seattle,Washington,United States,West,Shipping on time,21-04-2021,O_ID_3000109,21-04-2021,Same Day,0,0,32.38999939,179.9700012,1,45.75
C_ID_39001,Angela,Chand,Furniture,"Global Geo Office Task Chair, Gray",Consumer,Seattle,Washington,United States,West,Shipping on time,23-06-2021,O_ID_3000110,23-06-2021,Same Day,0,0,9.600000381,239.9600067,1,76.01999664
C_ID_36479,Juan,Lichtenstein,Office Supplies,Belkin 8 Outlet Surge Protector,Corporate,Dallas,Texas,United States,Central,Shipping on time,7/5/2021,O_ID_3000111,7/5/2021,Same Day,0,0,51.99000168,120.0,1,39.3199997
